,comment
1032517, 叙事很牛逼啊！
1039700, 周冬雨蛮惊艳。
2100175, 动画巅峰之作。
778330, 给所有爱过的人
2115705, 真的很好！！！
2122367, 太棒了，已二刷
627099, 虽然不是笑哭的
11988, 灭霸快来！！！
16504, 其实还蛮失望的
2112266, 兔爸兔妈萌哭了
1317582, 出乎意料的好看
2123885, 哈哈哈哈哈哈哈
1773684, 主角大叔太帅了
2115694, 细节非常用心。
1761692, 一帮人一起看的
1756904, 人性真的很可怕
776169, 致有梦想的傻子
2097757, 爱上了一只狐狸
14065, 美国队长帅呆了
2095664, 幽默又引人深思
888733, 纯天然扫把星啊
626584, 看笑了，顿悟了
2115708, 很想二刷英文版
27236, 5.13 美嘉
1773621, 故事过分美丽。
1761704, 五星给胖大叔。
273825, 我觉得还不错啦
2123903, 好看五星好片！
625952, 爸爸妈妈也喜欢
1756954, 暖人心的丧尸片
2120319, 都有自己的影子
1735015, 花开时再相见吧
776153, 用心就能做好事
2103485, 偏见是很可怕的
886192, 好看就行了呗~
1738956, 丧尸片的新类型
2112404, 满分不怕骄傲！
2118923, 长评，写超了。
1756962, 很惊醒人的片子
779905, 别说了 满分！
776161, 如果岁月可回头
1773703, 人性…不过如此
572051, 棒，炫呆的科技
2100106, 这不是人的世界
2108649, 唤起了我的童心
1773713, 好看！太好看！
1752833, 孔侑太会选戏了
1241728, 喜欢这种调调。
1322907, 不错的3ｄ电影
1773957, 有关人性的电影
2092407, 迪士尼一生推！
569814, 迷人小萝卜~~
2112602, 没得说，就是赞
2092400, 爱上狐狸和树獭
886125, 笑得脸都抽筋了
2103317, 好看到没朋友。
1752713, 看完难受了一天
566759, 少爷少爷我爱你
2103329, 满满的惊喜，棒
2121359, 一定要去看。！
2100263, 值的一看～～～
2108498, 闪电.....
889693, 欢乐多啊~哈哈
1744200, 两个字，好看。
1249126, 好看 逼格够高
767443, 热烈的爱起来~
872802, 期待已久的电影
1215979, 14.7.25
1749652, 男主好帅，想嫁
2117840, 很棒的电影 。
878203, 笑笑笑笑笑死了
