,comment
142044, 爱寡姐不解释～～
1780866, 人性比病毒更可怕
872490, 蛮搞笑的轻松一下
1045421, 我把生活过成了你
998179, 好看的国产片！！
1549850, 难得好看的港产片
1780821, 本来是不打算看的
1821509, 比三感觉好很多。
618290, 星爷真是个人才啊
2059986, 老少皆宜的动画片
862282, 有诚意的取巧之作
517270, 前半段可圈可点。
862287, 有人都笑岔气了。
579887, 太帅了，拍续集吧
222624, 教育气息太浓重了
1125464, 典型的超级英雄片
1331006, 特效我给100分
902247, 笑了哭了哭了笑了
1340845, 盗墓里还算不错的
579894, Iron Man
1085915, 肯定会出第二部的
1659030, 乱乱的，却很开心
141991, 中间的大战很过瘾
630378, 文章咋这帅！！！
902152, 就是囧，就是好笑
1765294, 温情脉脉的惊悚。
883759, 国产能这样不错了
1085801, 吐槽类型的商业片
1765309, 简直…我的妈啊…
1938713, 画面和音乐都不错
1765298, 吓得我晚上睡不着
1340792, 国产片算不错的了
618346, 有味道的星爷电影
222726, 消遣休闲的好片子
793550, 男主为啥不换鞋？
1085857, 第四颗星给浩克。
222710, 13.01.02
570539, 我觉得还能看的啊
1156470, 撒完尿记得要擦手
881917, “合格就是优秀”
1085864, 打打闹闹欢乐多。
336758, 有真心，期待更好
618334, 段小姐请你醒一醒
1073803, 后半段比较激情。
1765277, 噱头有点大。。。
942435, spa时候最好笑
1085823, 绿巨人太可爱了！
488636, 结局不够励志啊！
1570219, 多的一颗星给星爷
1085839, 看地粉过瘾~~~
1924687, 我爱野田洋次郎。
1400496, 我觉得挺好看的😂
871354, 小成本！大味道！
401066, 国产良心作！！！
632784, 妖怪太丑了。。。
56748, 真的是剧情太单薄
997288, 算得上国产大片。
1066118, 哭死了，心疼七月
305683, 国产动画良心之作
861806, 看完真的很欢乐啊
937808, 越来越喜欢宝宝了
2058081, 竟然很好看！！！
1259918, 三傻大闹东极岛～
469044, 也没说的那么好看
893685, 很好笑，还有彩蛋
1924324, 画面超美，很感人
1823108, 真的，电影太长了
1823109, 依旧最爱大黄蜂！
902733, 挺逗，结局很感人
580222, 豪，我们做朋友吧
1019616, 小说党基本满足。
580223, 额，我妈男神。。
2058015, 迪士尼的里程碑～
1780436, 义愤填膺又很温暖
1190080, 就是喜欢这个调调
794170, 还好没上班时候看
1954538, 看完让人怀念青春
338112, 动作戏很帅啊！！
659984, 喜欢黄渤版的猴子
2057900, 典型的美式动画。
1333801, 觉得挺棒了，喜欢
1954526, 动画里的景色好美
1248445, 万晓利女儿情加星
338081, 比较好。挺喜欢。
1219740, 就是太做作了！！
1424878, 只能说值得一看！
1698329, 看的只是帅哥美女
580246, 第一部都这么精彩
1168767, 原来是一个悬疑片
794158, 一场春梦了无痕。
1823246, 大片，大片，大片
826206, 尝新。有西方幽默
1219747, 能映射生活才有用
902724, 徐峥的确挺有才的
221330, 正能量是关键词。
781943, 就冲这个上映时间
1066195, 想和发小一起看 
890303, 我承认我笑点低。
513367, 段子组成的故事，
1727119, 丧尸进化得太快！
624141, 文章大亮啊！！！
221353, 总是少了一些感觉
1047642, 结尾太过仓促。。
2098164, 有梦就勇敢去追！
1086512, 我喜欢热血的东西
1086516, 肌肉男的电影~~
1549415, 配音配音，扣两分
1019605, 十七岁看的小说。
1570769, 环保牌科幻爱情片
1954450, 画面好。故事一般
221232, 第一次看iMax
523253, 好看 搞笑又感人
142449, 寡姐和猩红好评！
2058115, 迪斯尼越做越好了
580216, 见钢铁侠如见上帝
337937, 国产动漫良心之作
142428, 好像又掉进坑了🙈
1823033, 睡着了。。。。。
861849, 笑的眼泪都出来啦
2058161, 看的时候没认真看
2058160, 一般吧 评分偏高
1823294, 比前两部好看多了
338285, 国产电影巅峰之作
1341331, 帅是最大的亮点。
1570927, 看完了有点点悲伤
902869, 全场笑^_^不错
1698408, 追小时代那么久。
2530, 典型的好莱坞大片
1086774, 狗血！狗血的爽！
1656844, 反正我觉得还不错
861691, 真是笑得半死啊。
305624, 汪峰的歌是什么鬼
1558429, 小姑娘长得真好看
2057625, 细节精致人物饱满
1470719, 感觉完成度不错啊
1727084, 饭前看，减肥……
1823526, 演女儿的还不错~
220848, 有几处颇有新意。
1341326, 国产大片的新标杆
1823543, Q. 特技不错。
1954638, 二刷还是没在一起
861670, 太2B的搞笑了！
874935, 反正就是为了发笑
552454, 一部关于青春的剧
468734, 其实还是蛮好笑的
305604, 国产动画新标杆。
1190106, 汽油车不能加柴油
1764555, 人总是有希望的。
1121159, 特效和场面神马的
652054, 始终不是周星星。
1155384, 看了跟没看过一样
523317, 把相声搬上大荧幕
496603, 周杰伦。。。。。
1656910, 最好看的是片尾曲
1764585, 僵尸内核的温情片
142517, 没想象中那么好，
1698360, 看看还是不错的！
874916, 中间那段笑歇菜了
1341299, 与好友在版纳看的
142518, 差个绿巨人就齐了
1657049, 这一代人的记忆。
523292, 一个人生一个梦。
1823379, 光头大叔萌萌哒~
1570871, 周氏喜剧有笑有泪
625563, 孙猴子可怜的很。
1823342, 跟以前差不多。。
937791, 轻松、搞笑的电影
1028006, 可以列入年度十佳
1073643, 哈哈各种帅气逼人
635035, 很好的故事片呢。
618007, 好久没笑成这样了
1424862, 就冲我们小皇帝~
338150, 就是就是 短了点
1558427, 很好的环保教育片
1560326, 水，空气，阳光。
1780383, 人性，放大的人性
861719, 贺岁就该这样热闹
617996, 又笑又哭活像傻逼
220883, 人大代表！哈哈！
1284053, 因为国产加一星。
902829, 还好吧，徐铮不错
635038, 开头吓死我了好吗
580291, 一贯的美国英雄片
1941350, 简单，轻松，快意
338205, 我爱上猴子了。帅
1309466, 明明特别好看啊。
579753, 已经过去这么久了
469397, 爱你的才是最好的
1186047, 一堆没有原则的人
874858, 黄渤不错。。。。
221737, 很典型的成龙风格
1309653, 陪我家先生看的。
1822376, 比2、3好看多了
718518, 你們還小，還不懂
1570546, 爱上罗志祥哈哈哈
221728, 找韩国人毫无必要
56239, 多加一星给BGM
337531, 虽有差距但要鼓励
56255, 怪不得说三观不正
2058910, 啥也别说，好看！
2058783, 喜欢那个婴儿狐狸
781983, 艾玛 斯通美生死
902549, 贺岁片就该酱紫~
337601, 感觉结束的很仓促
1170225, 挺喜欢韩式段子的
142300, 場面還算值回票價
1822520, 是给中国人看的吧
1259828, 总觉得电影未放完
1558398, 星爷心意是好的。
1425213, 爆米花电影，还行
1086364, 剧院3D大乱炖！
618121, 化妆特效烂了点。
1822516, 擎天柱的脑残粉。
1341101, 很不错的商业大片
1733814, 最后几处有硬伤。
1219672, 很用心的在讲故事
631950, 还挺好笑的吧~~
518990, 恍恍惚惚红红火火
1086322, 这纯是来娱乐吧的
1121274, 竟然看了两遍……
1045329, 一个人的分身简直
2098001, 小动物也有大能量
221885, 经典的成龙式电影
580067, 科技是第一生产力
1219648, 好基友，一辈子。
1764914, 还行吧，中规中矩
902510, 无激情，不搞笑了
1086249, 看见，相信，焦点
777157, 吻了一个彝族姑娘
1780618, 有些地方有bug
1469719, 女主很可爱...
997722, 缉毒警是真的伟大
21691, 没有第一部好看！
1764939, 嗯。害人终害己。
221908, 比想象中好很多！
1361699, 好看，都是演技派
1168688, 几句话拼成的电影
1764898, 哭瞎了，大叔啊！
1549609, 喜欢～尤其是邓超
31344, 啊哈，好多英雄。
305835, 满满周星驰的影子
1549585, 节奏快 时间段 
1073694, 就觉得绿巨人萌。
1309660, 鬼子复活挺给力的
221863, 不错，给大哥点赞
1549586, 星爷在向自己致敬
469469, Oct.2015
997701, 向人民警察致敬。
1155744, 生活就是一个骗局
1227824, 同他的文字一样。
902657, 很成功的商业片~
618085, 哈哈，太搞笑啦！
902664, 我自己已经够囧了
133881, 我觉得还不错吧！
1570664, 不知如何评论。。
580153, 机器人笨笨太萌了
826256, 一部深情的电影。
1341156, 故事情节还可以。
2058505, 4.5  弱非善
2098096, 自由世界自由思路
1733850, 一直担心孕妇流产
1155758, 耐人寻味的 台词
1066281, 叙事上有可取之处
1733851, 人心比丧尸更可怕
1324365, 比九层妖塔好太多
997469, 为缉毒警察点赞！
314846, 眼泪汪汪地看完了
1128379, 嗯嗯，拯救世界！
902675, 不错的爆米花电影
142399, 热闹。无数彩蛋。
997413, 用东航我是不服的
1086489, 英雄主义的集结号
1780480, 对人性描写的不错
1086497, 来不，我的战士。
337872, 还行，比捉妖记好
337861, 力量源自于感化 
337812, 国产动画颠覆之作
1289693, 一次难熬的经历。
142382, 黑豹粉，国王牛逼
221420, 成龙还是很拼命啊
1070941, 主要看的有点方🤔
1822609, imax3d加分
1049521, 岁月长，衣衫薄。
833785, 米娅不喜欢爵士…
221586, 喜欢成龙的动作片
1227833, 国产良心，可以看
142333, 钢铁侠戏份多了点
902592, 没事儿乐一乐呗~
1121250, 我爱钢铁侠 哦也
1657760, 有笑点，挺好玩的
694045, 豆瓣分数又打低l
1045328, 周冬雨往前迈步了
221649, 这么拼命，值了。
