,comment
400309, 先不说影片好坏，虚假营销，一分不能再多了
154878, 不咋地。都是特效，没有内容  感觉很空！
1963029, 就这种垃圾还想咬千寻？咬动物城？，艹退钱
1571669, 好想狠狠骂 最后千言万语化成两个字：难看
64605, 又山寨宫崎骏，人地个仔都学不像他好唔好。
649072, 我决定再看一遍大话西游以弥补我心灵的创伤
550760, 我是男的 但也受不了这么物化女性的电影 
993701, 实在看不下去。主旋律电影，满满都是套路。
1403203, 王俊凯哈哈哈我一颗星都不想打哈哈哈哈哈哈
119054, 国漫不易，但也请不要这样骗去观众的同情心
749770, 一响起bgm我就恶心  你这情怀真不值钱
993518, 进影院电梯看到一个女生写了太好看了！！！
1400352, 引用一位网友的话：行使我所剩无几的权力。
1399491, 看着尴尬12.29日更新，一星给日人民报
1399464, 电影开场前，旁边的人说了一句:我先睡了。
710917, 这他妈也太尴尬了吧这辈子看过最尴尬的电影
653546, 我就是看不了血腥暴力，这tm一点也不好笑
82216, 一部大爱无疆的电影……看得我尴尬异常……
1214633, 美团上团的票，5毛钱。 电影值这5毛钱！
118891, 如果十二年就只能做成这样，那太让人绝望了
1343268, 这烂片也能上8分，真是佩服水军的敬业 。
399368, 这部电影的成功完全得益于国内畸形的市场。
797140, 不是我的菜。看完只想说什么鬼，莫名其妙。
1403719, 景甜滚蛋吧，一张淘宝店模特的脸，俗不可耐
1403695, 我怕评分系统在约谈后下架，所以，去你的吧
1399832, 讲道理，没有看过就打1分也是需要勇气的。
1399821, 张艺谋果然适合场景的构建而不适合讲故事。
1399840, 看得我尴尬睡着了，such a shit
1399841, 还没看，新闻说有人恶意差评，那就得补上。
155034, 失望透顶，这个节奏 ..........
1215027, 岳父的小说很棒，电影就算我打个鼓励分吧。
511087, 不喜欢这种电影。奇怪的三观，奇怪的笑料。
748950, 这是一部“特效”电影，因为只有特效还不错
108312, 看的我尴尬到一直在玩开心消消乐来缓解尴尬
1214716, 明明是个POLO宣传片，非说自己是电影！
1570176, 根本不想让这种电影出现在我的已看列表中。
1401675, 张艺谋算什么，世界，不，宇宙都是景甜的！
709729, 故事很尴尬，表演烂到家，唯一可看的是特效
1219155, 多年后，小野看到这部电影，默默扔了嫁妆。
1401781, 以前特喜欢看群星电影，现在倒成烂片标志了
549999, 这哪是什么心灵鸡汤，这分明是那碗茴香汤。
1402234, 张艺谋被景甜抬一手之后马上就要超越三枪了
1568171, 没去影院看，算是要回了西游降魔的电影票钱
749445, 对周星驰失望至极，其晚节不保的电影回忆。
1963337, 垃圾就是垃圾，包装的好也就是漂亮的垃圾。
749462, 特效可观，剧情垃圾，一句讲晒：圈钱烂片！
795311, 剧情没有深度，看不出2人的感情基础在哪里
82863, 看的很压抑。一个为了爱情抛弃家族的故事。
119445, 剧情漏洞爆炸  女主怒发好人卡 真tm醉
1402345, 女兵的意义就是跳下去喂狗???.....
994541, 不是特种部队碾过去就完事了么，哪这么多事
1218800, 果断一星。很反感这种没内容瞎矫情的电影。
1566663, 水军太多，只能中和一下了，不过也是够烂的
107905, 粉丝和主创三观真一致，一致的恶心，不要脸
107906, 连CCTV都批判的，你们觉得能好到哪里去
1401895, 本来想给3星的，看在国家面上给一颗星算了
1401422, 景甜你再这样下去，公关更不会借衣服给你了
1216972, 艹，轮到给韩狗的电影1分。韩狗真是沦落啊
1400869, 垃圾电影 看他作甚 50年代的审美 恶心
749127, 编剧没带着脑子，剪辑好像是mv导演弄的。
1402821, 不来补一脚真是难解我在影院时心中的悲愤。
1400703, 毫无逻辑可言的剧情 只会人海战术的老谋子
550688, 什么垃圾，这也是8分，老子给你1分吃吃爽
710462, 一颗星给林更新的演技，感谢吴亦凡的衬托。
1400635, 一句话就讲完的奇葩故事偏偏要用近两个小时
1400776, 全程尿点 张艺谋越来越傻逼了 台词尴尬癌
47224, 谁告诉我脸上抹一层口红那哥们是从哪来的？
1402911, 经过这次想要看一下豆瓣影评最低分能有多低
549423, 笑点满满 价值观不能苟同 给直男癌一颗星
1402550, 这部剧非常好，就讲了一个事情:认识景甜🙃
710252, 烂都烂不出新意，失败。否瓣能打半颗星么？
1401416, 拍的和屎一样，连他妈的富春山居图都不如。
749172, 别再糟蹋了...徐克你承认下自己烂了吧。
1217174, 这种段子电影也叫电影，还不如一步之遥呢。
1400984, 中国电影要有容得下一星的气量——人民日报
2046584, 这个小孩能看吗？完全美国式的洗脑啊。。。
1404568, 所以你们一边说烂一边还是掏钱去了电影院？
1397354, 唉…一星给马特达蒙，愿此片别影响你仕途。
1397450, 江郎才尽的张艺谋，可以安心在家带带孩子了
83855, 这种电影简直堪比毒药，连《小时代》都不如
118537, 闰土与吴亦凡争夺一个叫椿（蠢）的女人 ☝
706962, 看完后我觉得这片子的演员都欠我一张电影票
657204, 疯狂的火车带到疯狂的鹰潭过疯狂的情人节。
1404637, 朋友看过后没账号让我帮忙评个一星（摊手）
706796, 一定是我老了，不然为啥欣赏不了这种假电影
794075, 也就最后五分钟能看，其他时间尿点睡点无数
760560, 看到这卡司，有点恶心人了，这都怎么想的！
547253, 纯搞笑片，一点点的内涵没有，不如有色笑话
406967, 完全靠互联网营销的一部狗屎片骗了爹的银子
107495, 这要是国漫良心那国漫真的可以宣告灭亡了。
1222814, 没电影看了吗？非要在这种片子上浪费生命。
1397609, 也不是特别栏，只是不值我花了20块的票钱
118585, 有零分真的很想打零分，女主就是个大傻逼🙂
118412, 女主一直在做死，太中二，台词太tm尴尬了
1396779, 没有看，但是为了广电总局，特意来打一星。
761794, ？？？？？？？？？？？？？？？？？？？？
750703, 好难看！反正我是不喜欢！感觉好无聊！！！
546892, 去tmd水军。一颗星只给从头到尾的笑点。
750750, 流水账没主题。吴亦凡演技没有，情绪靠吼。
658313, 个人认为是烂片，好奇葩的剧情还是人物设定
551841, 好笑是挺好笑的 可惜三观不正 还是抄袭😑
1396817, 不行就是不行，有钱有人拍成这样是真不行。
1139249, 失望，真的不喜欢这么拍电影，剧情也是乏味
1397096, 不是五星制评分吗？怎么最后变成10分的？
26538, 说了不看这些打来打去的大片，从头睡到尾。
65197, 画面还看得过去 但是这剧情与节奏真的负分
395422, 剧情太差了，99%不走心，只有1%尚好。
1396849, 有duan报给你们站台撑腰，老板你牛逼哦
1396850, 妈的景甜到底什么后台！！！！！！！！！！
1396927, 1分给我的呆萌，矿泉水小姐又把我坑了……
1397002, 如果这都算电影，我申请准许我给0个星星。
1212975, 段子的堆砌 不能称之为电影 韩寒粉转路人
1398748, 一星感谢这部电影让我认识了饕餮两个字🙈🙈
24885, 不能打半星，只能打一星了，比第一部还难看
647859, 经典大烂片，只值一星，另一星给众多的明星
1574490, 这种片子还票房冠军？剧本是我小学作文水平
1347702, 杨颖不适合拍电影，这种片子也能8分，呵呵
118758, 如果这就是国漫的未来 那国漫就没有未来了
1347856, 给一分完全看在我男神黄渤份上，唉....
1222018, 太矫情做作了！！受不了了，看得都睡着了！
1562701, 不是很喜欢这部片子。情节什么的都挺一般的
1398666, 最你麻痹烦打怪！看电影前必须先看简介！😊
1398662, 叫家长算怎么回事？？？这样是会被人笑的。
1403989, 毫无营养，恶俗之至，确又是时代的真实写照
1574384, 真的不好。。。高级的幽默不是这样的。。。
711029, 再也不想看关于西游的电影了。 都快看吐了
1573823, 没演技没笑点没审美的三无电影 太让人失望
64864, 三观尽毁 愚庸至极 技术不够 情怀来凑。
750106, 烂片！！！！！！！！！！！！！！！！！！
1399164, 這一顆星，獻給所有為他付出血汗的劇組人員
750074, 可以打零分吗？实在想不到这一分该给谁？！
1137530, 这部电影让我知道了：豆瓣评价不可以给0分
