,comment
160343, 美队真的。。。。够了
160340, 无他，唯阵容强大尔。
726882, 吴亦凡的演技好尴尬啊
1528933, 挺好看，也没那么好看
1201379, 马达加斯加太可爱了！
108112, 剧情超烂，感觉买亏了
1113149, 好吧，确实很多笑点~
1593173, 靠卖萌就能票房大卖么
1593142, 三星全给片尾的舞蹈～
108132, 十二年的心血就这样吧
1528974, 生硬的幽默，盛年不复
644747, 国产的还是缺乏想象力
1201375, 内容涣散。段子可以有
1593045, 因为青春，所以去看了
1278327, 特效不错！确实不错！
108169, 话说结尾尺度可真大啊
385801, 制作还好，故事一般。
1898525, 还没言叶之庭好看。。
710332, 牵挂过人，了无牵挂。
161589, 3.5星，都是铺垫~
1593402, 简溪是咋上位的。。。
532264, 好看的话剧不叫电影。
161553, 蜘蛛侠好可爱，黑豹帅
161484, 比妇联好看，人多了嘛
161375, 看个热闹，人能兴奋点
385885, 说实话没什么亮点。。
1593203, 小时代把友情拍的很好
1528891, 尴尬 男票来的好突然
1528819, 环保玛丽苏喜剧，，，
606204, 2013.02.15
161149, 把老妈看睡着了。。。
160968, 艾玛看的我一愣一愣的
1529257, 全程最大的感受就是疼
1592706, 没有大家描述的那么差
818620, 港真，剧情真的太烂了
1592723, 三星半啦，没有那么差
1529223, 迎合的是哪里的市场啊
957573, 我竟然看完啦！哈哈哈
1134602, 就。。不是我的菜。。
1278425, 未知世界有无限可能性
160875, 忘了，好像没怎么打吧
1295407, 因为那什么多加一星。
1113371, 娱乐之上，爆米花良友
1278439, 合格的好莱坞大片！！
1529374, 3分不能再多了。。。
710519, 王丽坤版蜘蛛精挺惊艳
160927, 不喜欢节奏太慢的电影
1529285, 特效挺好。然后没了。
1899266, 不好意思 少女心已死
593846, 他还是没有找到出路。
1529303, 因为爱情，保护环境。
160887, 😃只想打死美队和冬兵
957651, 还是比较喜欢电视剧…
1201363, 孔女神朴实的演技好评
1529107, 只觉得特效可以更好。
1371036, 演员还行。故事一般。
386081, 画面酷炫，剧情单薄。
1592934, 服装采购辛苦了。。。
929065, 中规中矩，没有惊喜！
1196149, 后会无期，空白无言。
1134645, always 漫威…
1982987, 穿来穿去的真没看明白
664358, 还可以吧，挺贺岁的了
1113279, 男男/男、男女、神神
433842, 有泪点 但剧情有点扯
177413, 世界英雄vs世界政府
669249, 到最后，还是会伤感吧
177410, 座位近，晕，热死了！
589993, 黄渤不说青岛话···
1611664, 星星完全是给美妹子的
1273093, 夏雨一人饰演彭彭丁满
1514686, 还好吧，没有想象的好
921136, 比第一部还是差点感觉
1106089, 怎么这么坑爹的高分？
1611607, 没有想象中糟糕~挺好
1611494, 让人失望的是电影本身
439488, 四小天鹅那段比较搞笑
589968, 黄渤是个不错的演员。
177523, 真心觉得不如正义黎明
372779, 短板是故事的创意性。
94139, 剧情有点弱，太小言了
1273048, 叙事略无聊，特效不错
529839, 玛丽和沈腾的脸看很腻
177566, 纯粹是为了对立而对立
1203050, 听烂的电影台词啊..
1514635, 王全安是为什么。。。
1514582, 难以想象票房冠军。。
529843, 有点好笑，有点感动。
921042, 也许我是我期望太高。
1514605, 星爷也变成段子手了。
732305, 票房扑街了.....
1273262, 和海外大片还是差好多
373194, 我齐天大圣有这么丑吗
846561, 音乐4分……剧情负分
1515092, 无敌是多么，多么寂寞
1139672, 爽片，不过看完有点累
921299, 没有第一部好看。。。
921300, 看来我真的不接地气儿
1353196, 剧情单薄的有点奇怪。
176906, 看来内战篇还有下一部
1876426, 这分数水分真大。。。
373285, 期待越大  失望……
2004978, 没有传说中的好笑。。
1876472, 美化后的恐怖灵异故事
966947, 音乐短片，什么鬼……
373014, 在国产动漫中博得头筹
967170, just so so
1514938, 形式还在，情感没了。
1876043, 一般吧，我都没有看哭
94439, 画面5分，剧情2分。
1611276, 没想象中的难看。。。
1875967, 我是第九万个看的人。
439431, 完全是为了李易峰看的
1106204, 我擦 美国队长2死了
1139718, 对超英完全无感。。。
967078, 至少了解了这个故事。
1353085, 效果不错，剧情薄弱。
1515008, 3.5 不能再多了。
439349, 真的不考虑叫喜剧片吗
1515002, 从头到尾都浑身不舒服
1876145, 有点触不到的恋人fu
1874076, 一般般啦，妹子不错~
811338, 还好。。。会看哭吗？
705969, 为了段小姐还是看看吧
1105742, 三星不能再多了。。。
1612366, 其实……没那么难看啊
705957, 头一次在电影院睡着 
372229, 其实并没有那么有特点
1194625, 三星半吧。总体看还行
589853, 老梗太多。新意不多。
1514116, 反正大家是为过去买单
1139925, 没有蜘蛛侠没有蜘蛛侠
609568, 孙悟空的形象我很喜欢
705972, 孙悟空真的是唯一亮点
544992, 一场青春一场梦的yy
1301150, 盗墓，还以为是武侠呢
93715, 反正就是消磨时间而已
1873997, 刚看完……就那些……
732748, 2017.01.28
1105639, 没觉得笑点很多...
1513750, 其实是两个女人的战争
920719, 除了笑，没想起来什么
589789, 哪有传说中那么好啊。
93495, 哪有大鱼？只有大海豚
1612723, 给格格的大鼻孔。。。
1612758, 其实可以算三星半了。
1301258, 差不多吧诶，看完就忘
545019, 三观尽毁，三星给笑点
1194622, 都是江河书写的故事吧
1232848, 韩哥的屌丝情怀电影…
811300, 情出自愿，事过无悔。
1612520, 没想象中那么的烂。。
1612542, 看一遍其实是可以的~
1612653, 四娘的本事也就这样了
920740, 是我笑点太高么= =
968027, 剧情有不一样的体会。
1612576, 电影院看这个，奢侈了
1514134, 打三星都嫌多，什么鬼
177709, 现在是黑化了么…🌚🌚
1273008, 感觉像工艺美术作业。
372608, 营销太多了，两星半。
1301030, 画面很赞，剧情一坨屎
1514381, 一部完成度极低的作品
1612017, 画面还行。。故事没啥
372567, 算是一部好莱坞动画片
2005950, 并没能get到我的点
1352746, 刘晓庆把鬼都吓死了啊
1874837, 不管怎样都要摸胸系列
1273031, 坤哥可帅，不是说脸。
372707, 西游记版的宝贝计划吗
439692, 挺好笑的.剧情也ok
2005731, 好看，但并非意料之外
663057, 一万年太久，只争朝夕
1875076, 一般般，内容无咩深度
94028, 有些台词看得我好尴尬
439717, 差一笔画龙点睛的感觉
177775, (*・ω・)✄╰ひ╯
1301094, 的确比九层妖塔好看。
1874344, 模板化的故事很吃香。
372465, 除了特效也没啥了吧。
609545, 人鱼先生太萌了！！！
439937, 演员还可以，剧情一般
732624, 天才编剧 毁在演员 
1352730, 看到下面五星影评想吐
1874726, 画面美，剧情不喜欢。
93903, 想得挺美，拍的差很远
1194657, 内容薄弱，结局意外。
177781, 大概习惯了那样的剧情
93909, 不评论了，没有用心看
1874713, 我完全get不到……
1301088, 3.5星。特效不错。
1874628, 老阿姨的内心毫无波澜
372053, 剧情单薄，全靠自来水
95492, 其中2颗星是为了画面
846135, 一部比较好的歌舞剧。
1139319, 看到一半睡着了啊。。
1878250, 并没有那么好，陨石美
1516308, 小🐷真的超搞笑哈哈哈
638618," 打底2分,1分给舒淇"
1139318, 还行，没啥跌宕起伏。
438484, 颜值高，剧中歌好听。
1516314, 还是那个小孩子，真好
646130, 剧情简直就是狗屎啊。
1516398, 最好笑的还是报警那段
1516403, 笑点都被人鱼大妈揽了
2003665, 一般一般一般非常一般
1516435, 普遍对周星驰评价虚高
706613, 唐僧看得我一脸尴尬。
1194803, 希望下次能拍出更好的
1609878, 有些人黑的有点过了.
95556, 剧情单薄，莫名其妙。
731899, 吴亦凡的尴尬脸掉一星
1516378, 开始我看的好尴尬……
1609850, 满足了好奇心，哈哈哈
176098, 黑寡妇戏份太少= =
1194787, 感觉最后结局好草草啊
438589, 完全是看脸去了...
1223934, 挺搞笑的  仅此而已
544606, 话剧和小品糅出的电影
1106730, 完全是一部搞笑片嘛~
1516120, 警察画图那部分还不错
438629, 李易峰 2015.8
1877939, 哪有那么高，普通得很
921695, 结尾的范爷是港台腔？
438619, 就是普通的校园剧～ 
1516108, 唉，谁让我们欠他呢。
1516113, 作为女人都想睡张雨绮
1106779, 想法很好，剧情一般。
1878198, 2016年折叠爆炸年
1878209, 导演不擅长戏剧冲突啊
1610027, 抱歉，我找不到G点。
1878071, 还行吧 不用吹捧太过
846186, 一般般吧，老梗老套路
1202883, 无剧情的心灵鸡汤。。
438539, 给何炅新导演点个赞！
669149, 就是延续老作，无新意
1609487, 没那么烂啊。。=。=
374508, 心里不细腻，故事单薄
1516692, 故事欠佳，风格犹存。
1106996, 我还是更喜欢钢铁侠~
95851, 制作精良，剧情生硬。
1516718, 有笑料，有星爷的调调
95823, 渣渣剧情，渣渣台词！
1273753, 哟，不错哦，三星半。
1878929, 已经懒得吐槽。生气。
966064, 演技浮夸 看看脸就好
175426, 不知所云的前一个小时
1273807, 3.5.就觉得还好吧
1300306, 无功无过，舒淇扣一星
1516780, 过年看贺岁片别太计较
374579, 说真的剧情真的不咋地
1353717, 这才是正宗的摸金范儿
1609422, 最精彩的部分在片尾!
175429, 没看过妇联所以没看懂
175746, 啥也不说了，看过了。
175729, 对此类电影已开始无感
95670, 三星半。半星送给鼓励
1516499, 我还以为是周杰伦拍的
706648, 还蛮嗲的！比较能接受
921876, 爆米花電影，挺有趣的
1106857, 剧情好弱......
1609784, 林萧笨到让人看的抓狂
175595, 什么，这不是妇联3？
1609625, 跳着看的，还不错啦~
706668, 效果不错，故事一般。
2003411, 没有奇幻森林有内容。
1139253, 还行，和妈妈一起看的
1139252, 多少约束了各个英雄。
438279, 青春荷尔蒙 只能看脸
1353678, 剧情不够颜值颜值来凑
1609663, 故事刚开了个头就没了
609178, 好怀念东成西就。。。
94866, 论一个备胎的自我修养
94873, 剧情差了点 画面很美
1515514, 只是为张雨绮加一星。
921419, 到后面印象越来越不好
2004688, 还可以 主题曲很好听
590162, 所謂把美好毀滅給人看
439026, 李易峰是个好男友 😄
1515482, 张雨绮刘涛分不清楚…
1515485, 就警察那里差点笑出来
94858, 为什么有人会想去二刷
921474, 各方面都拍得很成熟。
529983, 就笑笑吧 三观不太对
1300664, 比《九层妖塔》好看些
94979, 剧情毁了其他所有美好
176553, 唉，失望的一次观影。
1515539, 还了欠给周星驰的影票
1106497, 打斗场面还是不错的！
176535, 太！婊！了！心疼我唐
1877251, 2016年12月4日
646191, 实在欢腾不起来- -
94726, 剧情不连贯，画面很美
1353243, 视效不错，故事一般。
732250, 星爷我不欠你电影票了
94686, 虎头蛇尾，越到后越扯
669218, 前半段着实被吓到了〜
1106376, 群英荟萃，萝卜开会。
646194, 一万年太久，就爱现在
1194743, 平凡之路果然平淡无奇
1273344, 老老实实拍类型片多好
1610812, 宝宝说看不懂在讲什么
176656, 剧情太乱，打斗场面佳
1515398, 无敌是多么的寂寞……
544752, 真心不错，良心之作。
94770, 没有那么一文不值吧。
544745, 青春题材的都不想评价
438910, 总之 是尊敬何老师的
1515908, 人鱼婆婆的尾巴好美啊
2004281, 为什么评分会这么高？
732059, 还不错，特效……挺好
1515870, 整片的亮点还是八爪鱼
1877729, 额。。我可能又坏掉了
95251, 等了这么多年，小失望
1610220, 哎呀hold姐是亮点
95264, 华而不实，心疼男湫。
1610175, 没我想的那么难看……
1353529, 国产盗墓IP改编良心
1610260, 看在女神的份上三星之
1515958, 这其实是一部环保片。
1610251, 结尾彩蛋蛮好看的。。
609194, 吓死爹吧，滚粗！！！
1194780, 这笑点也太少太淡了吧
95244, 剧情弱，一直在鸡汤。
1515834, 期待太高，不过也不错
2004440, 就flash那里笑死
95016, 爱情观我有点接受不能
1273425, 2015-12-27
812110, 画面美！女主裙纸好看
590204, 被动技：周星星光环~
732096, 五官精致，样貌平平。
176452, 小蜘蛛超级可爱！！！
1515636, 看完我只记得张雨绮。
2004468, 是我笑点太高吗。。。
1610545, 其实也还好啦 -。-
590200, 和泰囧一样 普普通通
1515663, 独立鱼说他是性无能！
1202942, 插曲什么的不错。。。
544671, 看不懂，到底要干什么
1610421, 它并没有达到期望值。
609223, 有些地方还是蛮搞笑的
176349, 没看懂，不过特效很好
1610403, 无重点，坑爹加无语。
1515817, 为何我看不出情怀来。
646158, 还行吧，哲理倒挺多~
1273447, 欣赏不来这种打打杀杀
1139528, 完全没有想象中那么爽
609230, 开头是惊悚片，慎看！
1139651, 不太喜欢，乱七八糟的
373740, 不好意思，没连起来看
733405, 除了特效，没啥好看的
180343, 漫威已经没什么可演了
919729, 看完没笑 你说怎么办
2009068, 有新意，不够吸引人！
91597, 画面很美，故事略空洞
589339, 小罗伯特不错，有范。
589344, 你这只马叉虫小萝卜！
610041, 好一般。。。不太喜欢
180296, 机场大战是唯一亮点…
1870966, 变形金刚4：中国市场
1615148, 吃盒饭的时候看看类型
1615296, 就是一个喜剧，哈哈哈
610079, 这是一封迟来的情书~
1511319, 作为贺岁片还是挺好的
1351749, 老实说，剧情一般……
610102, 没有了超时代性的天分
370252, 剧情薄弱，画质感人。
1870410, 广告植入的太生硬了。
810335, 这片除了致敬有啥看头
1870466, 逗比的座位逗比的片子
1870471, 得到冯导真传，广告片
1615227, 从头笑到尾 太好玩了
529371, 还可以啊  很欢乐吧
1511355, 三颗星都给环保主题！
610065, 其实是想给两星半。。
1615205, 和小说相比还是有差距
1511911, 无厘头喜剧，喜欢超哥
1352025, 三星全给的蒙古小胖娃
1871390, 好难得一见的大制作！
705474, 包贝尔比PK更尴尬。
733303, 特效可以 西游是情怀
1871337, 看完头晕，给个三星吧
441359, 还好，起码没打胎。。
1871356, 挺好看，就是广告太多
1871389, 3D效果 一般一般~
589453, 白菜剧情，特技不错。
92026, 给所谓中国风的努力。
1233011, 其实我想说我看不懂！
92029, 剧情普通。内涵深刻。
529475, 中年屌丝，一场春梦。
810616, 没得金像奖就对了。。
1614623, 20130630 K
609963, 没办法，只能那么多。
179946, 打打杀杀快落入俗套了
1614591, 除了矫情，别太计较了
